,CSP Algorithm,,,,,,,,,Times (ms),,,
 #Sessions,Valid?, Score, Score, RAM (MB), RAM (MB), Time (ms), Time (ms),, , Start, Modelled, Solved, Decoded
1,TRUE,-1,33,13.088344,12.543528,314.6452,307.404499,, ,38.7009,312.82,337.6116,341.4004
2,TRUE,33,48,34.888768,32.359232,148.519,347.8315,, ,400.3949,616.2248,746.4979,747.9254
3,TRUE,58,31,30.193888,28.814416,179.8493,157.7724,, ,797.7469,856.2054,954.8782,955.3675
4,TRUE,61,57,30.921136,24.741224,178.5656,114.671601,, ,976.5606,1019.5962,1090.2706,1090.9926
5,TRUE,45,60,37.864296,33.714456,396.6304,257.1248,, ,1110.907699,1217.5433,1367.2166,1367.8678
6,TRUE,63,43,34.2254,34.527816,218.4204,371.0001,, ,1385.0205,1478.907499,1755.3609,1755.8399
7,TRUE,40,60,34.248888,36.202904,339.7153,502.8798,, ,1774.2727,1886.150799,2276.696099,2277.0173
8,TRUE,42,61,37.421192,33.03012,384.9717,370.5807,, ,2289.618999,2362.1406,2659.588699,2659.997599
9,TRUE,41,61,37.4652,37.017752,600.8781,470.816401,, ,2670.7377,2731.2787,3140.9988,3141.4031
10,TRUE,60,37,37.321224,38.649288,468.4903,698.9851,, ,3153.776,3239.9998,3852.0441,3852.5953
11,TRUE,-1,64,38.409064,40.508848,47.6943,668.816099,, ,3864.5819,3937.0053,4532.9567,4533.2643
12,TRUE,38,39,41.048632,41.797176,614.6756,1094.3008,, ,4545.3865,4623.4363,5639.0583,5639.5391
13,TRUE,41,37,36.206976,37.427128,477.1538,593.4501,, ,5664.2195,5729.8445,6257.1938,6257.543799
14,TRUE,36,38,50.930512,42.83448,705.3881,1081.5025,, ,6268.719,6343.5257,7349.5046,7350.086
15,TRUE,62,59,40.158976,39.938272,800.2605,1026.7391,, ,7364.9067,7435.448,8391.0926,8391.404999
16,FALSE,-1,-1,41.437112,46.591488,67.2566,76.8789,, ,8405.1411,8481.0851,8481.8938,8481.9746
17,TRUE,36,38,41.01776,105.5806,771.9208,1343.4435,, ,8492.5871,8586.338199,9835.313099,9835.867699
18,FALSE,-1,-1,40.569808,37.665712,82.5218,96.571401,, ,9849.455999,9944.2441,9945.837399,9945.9167
19,TRUE,63,62,43.118592,78.032896,1156.1647,1802.9826,, ,9958.3809,10076.7731,11760.7299,11761.1225
20,TRUE,60,38,47.688392,48.07348,1740.3017,1620.8736,, ,11773.7263,11862.5604,13394.27,13394.5121
21,TRUE,40,60,48.085448,43.084664,1817.9018,1164.1073,, ,13406.0135,13506.9039,14569.8106,14570.0357
22,TRUE,66,34,49.684248,42.708096,1735.2874,1672.339601,, ,14581.1707,14653.6861,16253.0159,16253.3718
23,TRUE,63,65,47.941344,51.701488,1983.2729,2020.239601,, ,16265.1178,16355.8965,18284.9619,18285.2625
24,TRUE,61,34,43.13844,46.203168,1277.4899,1571.4992,, ,18297.4171,18377.6223,19868.5503,19868.8006
25,FALSE,-1,-1,40.325552,43.48748,74.5752,102.161101,, ,19879.9511,19980.4424,19981.8902,19981.9616
26,FALSE,-1,-1,42.45168,42.96964,67.8238,103.8313,, ,19993.5309,20095.5648,20097.058,20097.118
27,TRUE,38,66,52.428792,107.51612,2152.8494,3038.1598,, ,20107.6001,20218.2234,23145.2416,23145.6689
28,TRUE,38,60,48.120184,48.633264,1958.2231,3906.9825,, ,23160.0292,23279.0239,27066.6471,27066.9137
29,FALSE,-1,-1,46.533304,46.418576,88.1448,120.603,, ,27080.8145,27199.7006,27201.2253,27201.3524
30,TRUE,60,58,46.779504,59.153912,2892.9148,3838.436301,, ,27213.0681,27358.9252,31050.9037,31051.3447
31,FALSE,-1,-1,43.465688,41.768032,95.4426,100.617501,, ,31063.0162,31162.651,31163.5052,31163.58
32,TRUE,60,42,49.3218,53.087656,2685.4654,3448.0952,, ,31173.0674,31301.7359,34620.7329,34621.0548
33,FALSE,61,-1,48.75744,44.142344,3208.8772,168.887799,, ,34632.4803,34800.146,34801.25,34801.3127
34,TRUE,37,35,50.552904,47.053576,3009.3132,3018.9923,, ,34811.069,34910.7442,37829.4038,37829.7522
35,FALSE,60,-1,51.183816,44.44336,3102.6353,119.7239,, ,37842.13,37960.3335,37961.679,37961.7465
36,FALSE,58,-1,51.594032,44.518888,3282.6033,148.876899,, ,37975.1224,38122.0243,38123.6779,38123.7368
37,FALSE,64,-1,51.578264,44.011624,3791.1959,119.736901,, ,38137.9844,38256.2623,38257.4543,38257.536
38,TRUE,58,59,51.97148,58.80144,4009.43,4996.725599,, ,38269.2556,38406.7245,43265.5603,43265.7829
39,TRUE,39,42,60.743928,58.146152,4440.3095,5584.5557,, ,43278.3977,43398.725,48862.4462,48862.8373
40,TRUE,-1,33,42.378656,49.734992,102.676,4807.5375,, ,48877.7719,49014.0202,53684.7519,53685.1115
41,FALSE,-1,-1,49.001872,48.425728,117.656,136.886501,, ,53699.2436,53833.4368,53835.9026,53835.9784
42,FALSE,-1,-1,43.68128,44.013056,114.7882,146.7013,, ,53846.2925,53991.1932,53992.8205,53992.871
43,FALSE,-1,-1,43.454496,48.484064,104.2406,121.089001,, ,54005.9654,54125.2735,54126.9285,54126.9792
44,FALSE,-1,-1,49.537024,44.066896,124.8155,123.4257,, ,54137.5259,54259.2774,54260.8181,54260.8706
45,FALSE,-1,-1,42.621496,49.283072,113.5978,143.334801,, ,54275.867,54416.4073,54418.9551,54419.0253
46,FALSE,36,-1,57.695248,43.70484,4884.9691,154.926001,, ,54432.4346,54585.511,54587.1813,54587.2772
47,FALSE,64,-1,57.965384,42.991616,4810.6305,153.0066,, ,54600.5081,54751.092,54753.2646,54753.3217
48,FALSE,62,-1,60.3636,43.498272,7618.2701,155.701701,, ,54765.892,54918.9432,54921.322,54921.4032
49,TRUE,-1,60,46.541824,58.805776,118.6992,7281.673701,, ,54936.1066,55102.5291,62217.3744,62217.6621
50,FALSE,-1,-1,52.190904,48.552448,144.5339,172.8589,, ,62231.5562,62402.3046,62404.2429,62404.3074
51,TRUE,63,62,61.390208,62.31348,6882.5327,8768.740699,, ,62414.9379,62597.5824,71183.3307,71183.5895
52,FALSE,-1,-1,48.964632,48.679624,114.1194,146.020801,, ,71196.5135,71340.9365,71342.4679,71342.5118
53,TRUE,-1,38,47.357176,60.799504,132.1107,6271.557,, ,71352.1981,71517.6648,77623.4605,77623.6829
54,TRUE,-1,36,48.90824,59.776304,153.3163,8733.9516,, ,77636.7878,77781.7902,86370.2641,86370.6633
55,TRUE,60,39,59.46724,62.157232,7253.8823,9134.9235,, ,86382.6459,86538.6065,95517.0912,95517.4862
56,FALSE,61,-1,60.219944,49.857232,4759.377,195.3885,, ,95530.3139,95724.6264,95725.5919,95725.6386
57,FALSE,-1,-1,49.810176,45.82824,109.6038,133.829099,, ,95737.8446,95870.6528,95871.5776,95871.6233
58,FALSE,-1,-1,47.155184,50.52256,98.11,171.911,, ,95881.7087,96051.6207,96053.523,96053.5878
59,TRUE,-1,38,50.249728,102.677952,120.8047,7477.259601,, ,96066.2481,96221.0372,103542.7264,103543.4238
60,FALSE,-1,-1,47.419976,49.978816,110.734,150.2277,, ,103562.8667,103712.101,103712.9974,103713.0592
61,TRUE,36,40,59.913928,60.498384,6261.8813,7248.078899,, ,103724.8891,103873.3588,110972.6437,110972.8911
62,FALSE,-1,-1,47.847512,49.826608,110.286,145.3724,, ,110984.6538,111129.1997,111129.9694,111129.9957
63,FALSE,60,-1,104.811104,49.445152,4743.565,124.935,, ,111138.3527,111262.1867,111263.2056,111263.2358
64,FALSE,37,-1,60.91824,51.11904,6879.8694,157.9664,, ,111273.3839,111429.9132,111431.2446,111431.2877
65,TRUE,37,65,61.637744,100.331456,6479.5778,10046.7203,, ,111442.8527,111612.6925,121489.3041,121489.5116
66,TRUE,37,65,63.487472,72.89988,7774.8401,11571.9146,, ,121503.9393,121681.1448,133075.59,133075.7869
67,TRUE,-1,62,49.103616,60.034872,112.97,6719.6057,, ,133088.9014,133201.1846,139808.0663,139808.4252
68,TRUE,-1,61,47.766576,62.644016,112.7187,7853.3744,, ,139819.8162,139948.5285,147672.9429,147673.1403
69,FALSE,-1,-1,49.938384,50.18452,134.5463,132.059201,, ,147683.6603,147814.8152,147815.624,147815.6756
70,FALSE,60,-1,95.999952,49.135944,8431.2032,140.163,, ,147826.0058,147964.2515,147966.0503,147966.0936
71,FALSE,-1,-1,49.787856,47.592584,113.4144,136.0263,, ,147978.0537,148112.9853,148113.982,148114.0094
72,FALSE,39,-1,103.99944,49.681152,6656.0365,133.0779,, ,148125.0827,148257.1634,148258.1001,148258.127
73,TRUE,35,62,67.833272,64.120936,8917.4411,8679.5616,, ,148268.6053,148430.2544,156947.8595,156948.0571
74,FALSE,37,-1,136.745472,51.782544,8122.5258,155.1305,, ,156960.3142,157114.5557,157115.3578,157115.3895
75,FALSE,-1,-1,50.283024,49.441536,132.3974,146.215299,, ,157125.5365,157270.3455,157271.6762,157271.7109
76,FALSE,-1,-1,52.147896,49.923072,167.9676,141.3093,, ,157283.0482,157423.1086,157424.2458,157424.2942
77,FALSE,-1,-1,49.281712,49.949528,144.6406,178.6316,, ,157437.629,157615.0837,157616.1499,157616.194
78,FALSE,-1,-1,53.601024,49.836792,163.6766,154.925901,, ,157628.8969,157782.7565,157783.7368,157783.782
79,FALSE,-1,-1,50.310024,51.494168,135.2758,186.3826,, ,157795.2778,157980.0459,157981.5788,157981.6168
80,FALSE,-1,-1,59.684128,49.280936,191.9909,159.3425,, ,157995.5765,158153.9014,158154.8073,158154.8409
81,TRUE,61,60,108.46336,75.656424,11802.9113,9184.0486,, ,158165.8201,158341.2654,167349.5986,167349.7954
82,TRUE,41,36,76.450192,76.461112,9727.2108,10475.7575,, ,167362.4494,167510.7282,177837.9431,177838.1312
83,TRUE,37,61,76.572256,75.352312,9721.9747,8908.363799,, ,177850.5022,177993.1558,186758.5136,186758.7956
84,FALSE,-1,-1,51.853568,60.72928,132.6427,171.2903,, ,186770.6446,186941.028,186941.8719,186941.8974
85,FALSE,-1,-1,50.72092,51.92324,137.7996,171.0957,, ,186952.036,187121.3396,187123.0225,187123.0601
86,FALSE,-1,-1,56.449024,60.88348,163.5168,155.8026,, ,187132.8374,187287.5292,187288.5827,187288.6259
87,FALSE,59,-1,80.634368,54.47848,12870.6319,164.178399,, ,187300.1125,187463.3296,187464.2205,187464.2727
88,FALSE,-1,-1,51.043344,53.188912,130.1625,159.947199,, ,187474.4003,187632.7221,187634.2953,187634.3304
89,TRUE,37,45,134.953536,111.68752,12830.7446,9552.5479,, ,187646.6994,187798.217,197199.0164,197199.2172
90,TRUE,-1,62,57.98272,75.744256,216.553,12877.4269,, ,197212.3092,197378.6793,210089.5023,210089.7077
91,FALSE,40,-1,77.028088,60.441136,17036.2702,174.7926,, ,210102.7372,210276.3729,210277.4719,210277.5115
92,TRUE,-1,60,57.66912,75.81916,167.9467,11761.9704,, ,210287.6184,210472.2866,222049.3569,222049.5556
93,TRUE,37,39,121.418984,77.44008,12034.0371,13635.8692,, ,222061.934,222220.6393,235697.4151,235697.7635
94,FALSE,-1,-1,58.596344,58.470128,178.6972,159.1158,, ,235709.7995,235868.019,235868.8796,235868.8981
95,TRUE,-1,61,55.175896,113.258968,183.927,16233.291,, ,235879.3711,236102.6501,252112.4426,252112.6368
96,TRUE,-1,39,52.955488,79.857992,143.4419,11950.3294,, ,252125.2191,252277.9047,264075.1907,264075.5153
97,FALSE,57,-1,113.815128,59.60404,14190.9156,157.6159,, ,264088.3697,264244.734,264245.9487,264245.9695
98,FALSE,37,-1,73.145616,107.005464,13956.8715,175.8805,, ,264255.9005,264430.4675,264431.7295,264431.7597
99,TRUE,36,62,78.975144,81.104864,16797.4194,15533.347,, ,264443.624,264663.5417,279976.7297,279976.936
100,FALSE,-1,-1,58.693264,59.162112,184.0703,201.7106,, ,279989.969,280189.5916,280191.6191,280191.6528
,,,,,,,,,,,,,
,,,,,,,,,,,136.946113,2651.113583,0.248731
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,The DEFAULT parameters of the random test data: Days:100  Hours:8  Rooms:50  Sessions:50  Individuals:50 (Ignore for the specified parameter).,,,,,,,,,,,,
